x y
124100 3286
124200 3312
124300 3340
124400 3338
124500 3330
124600 3308
124700 3298
124800 3266
124900 3242
125000 3188
125100 3140
125200 3112
125300 3086
125400 3040
125500 2988
125600 2948
125700 2920
125800 2866
125900 2836
126000 2796
126100 2746
126200 2706
126300 2670
126400 2612
126500 2562
126600 2510
126700 2472
126800 2432
126900 2396
127000 2346
127100 2306
127200 2274
127300 2224
127400 2186
127500 2160
127600 2116
127700 2074
127800 2040
127900 1992
128000 1946
128100 1900
128200 1852
128300 1810
128400 1778
128500 1726
128600 1700
128700 1660
128800 1688
128900 1730
129000 1782
129100 1836
129200 1872
129300 1916
129400 1956
129500 1992
129600 2018
129700 2072
129800 2098
129900 2134
130000 2194
130100 2230
130200 2256
130300 2292
130400 2324
130500 2372
130600 2416
130700 2468
130800 2486
130900 2458
131000 2430
131100 2380
131200 2336
131300 2286
131400 2244
131500 2196
131600 2164
131700 2114
131800 2072
131900 2030
132000 1988
132100 1948
132200 1904
132300 1858
132400 1814
132500 1792
132600 1756
132700 1718
132800 1672
132900 1626
133000 1588
133100 1548
133200 1510
133300 1478
133400 1420
133500 1378
133600 1348
133700 1304
133800 1262
133900 1238
134000 1198
134100 1144
134200 1098
134300 1058
134400 1032
134500 996
134600 976
134700 944
134800 906
134900 870
135000 830
135100 796
135200 766
135300 720
135400 686
135500 656
135600 624
135700 610
135800 580
135900 544
136000 508
136100 472
136200 448
136300 424
136400 382
136500 334
136600 320
136700 340
136800 376
136900 408
137000 434
137100 476
137200 496
137300 500
137400 498
137500 470
137600 432
137700 394
137800 348
137900 308
138000 258
138100 264
138200 296
138300 342
138400 366
138500 356
138600 306
138700 256
138800 222
138900 188
139000 138
139100 114
139200 98
139300 122
139400 138
139500 172
139600 226
139700 260
139800 312
139900 342
140000 376
140100 414
140200 442
140300 468
140400 508
140500 550
140600 594
140700 638
140800 690
140900 722
141000 772
141100 798
141200 830
141300 860
141400 890
141500 934
141600 978
141700 1004
141800 988
141900 950
142000 910
142100 874
142200 834
142300 794
142400 764
142500 732
142600 686
142700 656
142800 608
142900 592
143000 566
143100 520
143200 496
143300 504
143400 460
143500 414
143600 364
143700 324
143800 286
143900 254
144000 272
144100 222
144200 192
144300 148
144400 128
144500 96
144600 72
144700 62
144800 32
144900 30
145000 20
145100 26
145200 66
145300 102
145400 136
145500 168
145600 200
145700 246
145800 292
145900 326
146000 358
146100 388
146200 432
146300 472
146400 526
146500 564
146600 608
146700 646
146800 686
146900 730
147000 770
147100 810
147200 854
147300 896
147400 950
147500 988
147600 998
147700 958
147800 910
147900 858
